bm_unit,national_grid_bm_unit,settlement_date,settlement_period,time_from_utc,time_to_utc,level_from_mw,level_to_mw
T_BOWLW-1,BOWLW-1,2026-09-08,31,2026-09-08T14:00:00Z,2026-09-08T14:30:00Z,43,42
T_BOWLW-1,BOWLW-1,2026-09-08,32,2026-09-08T14:30:00Z,2026-09-08T15:00:00Z,42,50
T_BOWLW-1,BOWLW-1,2026-09-08,33,2026-09-08T15:00:00Z,2026-09-08T15:30:00Z,35,39
T_BOWLW-1,BOWLW-1,2026-09-08,34,2026-09-08T15:30:00Z,2026-09-08T16:00:00Z,39,48
T_BOWLW-1,BOWLW-1,2026-09-08,35,2026-09-08T16:00:00Z,2026-09-08T16:30:00Z,65,70
T_BOWLW-1,BOWLW-1,2026-09-08,36,2026-09-08T16:30:00Z,2026-09-08T17:00:00Z,70,77
T_BOWLW-1,BOWLW-1,2026-09-08,37,2026-09-08T17:00:00Z,2026-09-08T17:30:00Z,72,79
T_BOWLW-1,BOWLW-1,2026-09-08,38,2026-09-08T17:30:00Z,2026-09-08T18:00:00Z,79,81
T_BOWLW-1,BOWLW-1,2026-09-08,39,2026-09-08T18:00:00Z,2026-09-08T18:30:00Z,77,79
T_BOWLW-1,BOWLW-1,2026-09-08,40,2026-09-08T18:30:00Z,2026-09-08T19:00:00Z,79,81
T_BOWLW-1,BOWLW-1,2026-09-08,41,2026-09-08T19:00:00Z,2026-09-08T19:30:00Z,77,79
T_BOWLW-1,BOWLW-1,2026-09-08,42,2026-09-08T19:30:00Z,2026-09-08T20:00:00Z,79,81
T_BOWLW-1,BOWLW-1,2026-09-08,43,2026-09-08T20:00:00Z,2026-09-08T20:30:00Z,76,78
T_BOWLW-1,BOWLW-1,2026-09-08,44,2026-09-08T20:30:00Z,2026-09-08T21:00:00Z,78,78
T_BOWLW-1,BOWLW-1,2026-09-08,45,2026-09-08T21:00:00Z,2026-09-08T21:30:00Z,71,72
T_BOWLW-1,BOWLW-1,2026-09-08,46,2026-09-08T21:30:00Z,2026-09-08T22:00:00Z,72,73
T_BOWLW-1,BOWLW-1,2026-09-08,47,2026-09-08T22:00:00Z,2026-09-08T22:30:00Z,68,68
T_BOWLW-1,BOWLW-1,2026-09-08,48,2026-09-08T22:30:00Z,2026-09-08T23:00:00Z,68,67
T_BRBEO-1,BRBEO-1,2026-09-08,1,2026-09-07T23:00:00Z,2026-09-07T23:30:00Z,158,164
T_BRBEO-1,BRBEO-1,2026-09-08,2,2026-09-07T23:30:00Z,2026-09-08T00:00:00Z,164,172
T_BRBEO-1,BRBEO-1,2026-09-08,3,2026-09-08T00:00:00Z,2026-09-08T00:30:00Z,193,193
T_BRBEO-1,BRBEO-1,2026-09-08,4,2026-09-08T00:30:00Z,2026-09-08T01:00:00Z,193,192
T_BRBEO-1,BRBEO-1,2026-09-08,5,2026-09-08T01:00:00Z,2026-09-08T01:30:00Z,181,180
T_BRBEO-1,BRBEO-1,2026-09-08,6,2026-09-08T01:30:00Z,2026-09-08T02:00:00Z,180,178
T_BRBEO-1,BRBEO-1,2026-09-08,7,2026-09-08T02:00:00Z,2026-09-08T02:30:00Z,168,169
T_BRBEO-1,BRBEO-1,2026-09-08,8,2026-09-08T02:30:00Z,2026-09-08T03:00:00Z,169,171
T_BRBEO-1,BRBEO-1,2026-09-08,9,2026-09-08T03:00:00Z,2026-09-08T03:30:00Z,177,180
T_BRBEO-1,BRBEO-1,2026-09-08,10,2026-09-08T03:30:00Z,2026-09-08T04:00:00Z,180,186
T_BRBEO-1,BRBEO-1,2026-09-08,11,2026-09-08T04:00:00Z,2026-09-08T04:30:00Z,184,190
T_BRBEO-1,BRBEO-1,2026-09-08,12,2026-09-08T04:30:00Z,2026-09-08T05:00:00Z,190,198
T_BRBEO-1,BRBEO-1,2026-09-08,13,2026-09-08T05:00:00Z,2026-09-08T05:30:00Z,197,203
T_BRBEO-1,BRBEO-1,2026-09-08,14,2026-09-08T05:30:00Z,2026-09-08T06:00:00Z,203,196
T_BRBEO-1,BRBEO-1,2026-09-08,15,2026-09-08T06:00:00Z,2026-09-08T06:30:00Z,201,204
T_BRBEO-1,BRBEO-1,2026-09-08,16,2026-09-08T06:30:00Z,2026-09-08T07:00:00Z,204,207
T_BRBEO-1,BRBEO-1,2026-09-08,17,2026-09-08T07:00:00Z,2026-09-08T07:30:00Z,200,209
T_BRBEO-1,BRBEO-1,2026-09-08,18,2026-09-08T07:30:00Z,2026-09-08T08:00:00Z,209,204
T_BRBEO-1,BRBEO-1,2026-09-08,19,2026-09-08T08:00:00Z,2026-09-08T08:30:00Z,206,213
T_BRBEO-1,BRBEO-1,2026-09-08,20,2026-09-08T08:30:00Z,2026-09-08T09:00:00Z,215,213
T_BRBEO-1,BRBEO-1,2026-09-08,21,2026-09-08T09:00:00Z,2026-09-08T09:30:00Z,220,221
T_BRBEO-1,BRBEO-1,2026-09-08,22,2026-09-08T09:30:00Z,2026-09-08T10:00:00Z,218,219
T_BRBEO-1,BRBEO-1,2026-09-08,23,2026-09-08T10:00:00Z,2026-09-08T10:30:00Z,222,224
T_BRBEO-1,BRBEO-1,2026-09-08,24,2026-09-08T10:30:00Z,2026-09-08T11:00:00Z,224,228
T_BRBEO-1,BRBEO-1,2026-09-08,25,2026-09-08T11:00:00Z,2026-09-08T11:30:00Z,228,231
T_BRBEO-1,BRBEO-1,2026-09-08,26,2026-09-08T11:30:00Z,2026-09-08T12:00:00Z,231,233
T_BRBEO-1,BRBEO-1,2026-09-08,27,2026-09-08T12:00:00Z,2026-09-08T12:30:00Z,232,234
T_BRBEO-1,BRBEO-1,2026-09-08,28,2026-09-08T12:30:00Z,2026-09-08T13:00:00Z,234,235
T_BRBEO-1,BRBEO-1,2026-09-08,29,2026-09-08T13:00:00Z,2026-09-08T13:30:00Z,237,237
T_BRBEO-1,BRBEO-1,2026-09-08,30,2026-09-08T13:30:00Z,2026-09-08T14:00:00Z,237,237
T_BRBEO-1,BRBEO-1,2026-09-08,31,2026-09-08T14:00:00Z,2026-09-08T14:30:00Z,236,236
T_BRBEO-1,BRBEO-1,2026-09-08,32,2026-09-08T14:30:00Z,2026-09-08T15:00:00Z,236,236
T_BRBEO-1,BRBEO-1,2026-09-08,33,2026-09-08T15:00:00Z,2026-09-08T15:30:00Z,235,234
T_BRBEO-1,BRBEO-1,2026-09-08,34,2026-09-08T15:30:00Z,2026-09-08T16:00:00Z,234,234
T_BRBEO-1,BRBEO-1,2026-09-08,35,2026-09-08T16:00:00Z,2026-09-08T16:30:00Z,228,231
