bm_unit,national_grid_bm_unit,eic,bm_unit_name,lead_party,bm_unit_type,generation_capacity_mw,gsp_group_id,north_of_b6,side_of_b6,side_grade,side_basis,queryable,bid_paid_gbp_015
T_SGRWO-4,SGRWO-4,48W00000SGRWO-4F,Seagreen1 Offshore WF 4,Seagreen Wind Energy Limited,T,140.000,,False,unknown,-,no graded evidence,True,41029.990317068133776962
T_SGRWO-5,SGRWO-5,48W00000SGRWO-5D,Seagreen1 Offshore WF 5,Seagreen Wind Energy Limited,T,300.000,,False,unknown,-,no graded evidence,True,20722.432770210599926471
T_SGRWO-6,SGRWO-6,48W00000SGRWO-6B,Seagreen1 Offshore WF 6,Seagreen Wind Energy Limited,T,380.000,,False,unknown,-,no graded evidence,True,108362.658384008599568915
T_SHRSW-1,SHRSO-1,48W00000SHRSO-1Y,Sheringham Shoal Unit 1,Scira Offshore Energy Limited,T,158.400,,False,unknown,-,no graded evidence,True,
T_SHRSW-2,SHRSO-2,48W00000SHRSO-2W,Sheringham Shoal Unit 2,Scira Offshore Energy Limited,T,158.400,,False,unknown,-,no graded evidence,True,
T_SOFOW-11,SOFWO-11,,Sofia Offshore Wind BMU 1,Sofia Offshore Wind Farm Ltd,T,457.000,,False,unknown,-,no graded evidence,True,
T_SOFOW-12,SOFWO-12,,Sofia Offshore Wind BMU 2,Sofia Offshore Wind Farm Ltd,T,457.000,,False,unknown,-,no graded evidence,True,
T_SOFOW-21,SOFWO-21,,Sofia Offshore Wind BMU 3,Sofia Offshore Wind Farm Ltd,T,457.000,,False,unknown,-,no graded evidence,True,
T_SOFOW-22,SOFWO-22,,Sofia Offshore Wind BMU 4,Sofia Offshore Wind Farm Ltd,T,457.000,,False,unknown,-,no graded evidence,True,
T_SOKYW-1,SOKYW-1,,South Kyle Wind Farm,South Kyle Wind Farm Limited,T,426.916,,False,unknown,-,no graded evidence,True,119904.337565759999051809
T_STLGW-1,STLGW-1,48W00000STLGW-1E,Stronelairg Windfarm 1,Stronelairg Windfarm Limited,T,108.000,,False,unknown,-,no graded evidence,True,115814.764637003467669274
T_STLGW-2,STLGW-2,48W00000STLGW-2C,Stronelairg Windfarm 2,Stronelairg Windfarm Limited,T,108.000,,False,unknown,-,no graded evidence,True,134660.888656450003281851
T_STLGW-3,STLGW-3,48W00000STLGW-3A,Stronelairg Windfarm 3,Stronelairg Windfarm Limited,T,108.000,,False,unknown,-,no graded evidence,True,113071.354312505333382429
T_STRNW-1,STRNW-1,48W00000STRNW-1H,Strathy North Wind Farm 1,Strathy Wind Farm Limited,T,70.000,,False,unknown,-,no graded evidence,True,72029.487440021800125578
T_TDBNW-1,TDBNW-1,48W00000TDBNW-1W,Toddleburn,SSE Generation Ltd,T,31.600,,True,north,B,TEC register row 'Toddleburn Wind Farm' hosted by SPT,True,
T_THNTO-1,THNTO-1,,Thanet Offshore Wind Limited 1,Thanet Offshore Wind Limited,T,287.699,,False,unknown,-,no graded evidence,True,
T_THNTO-2,THNTO-2,,Thanet Offshore Wind Limited 2,Thanet Offshore Wind Limited,T,230.159,,False,unknown,-,no graded evidence,True,
T_TKNEW-1,TKNEW-1,,Triton Knoll OSP East 1,Triton Knoll Offshore Wind,T,412.000,,False,unknown,-,no graded evidence,True,
T_TKNWW-1,TKNWW-1,,Triton Knoll OSP west 1,Triton Knoll Offshore Wind,T,412.000,,False,unknown,-,no graded evidence,True,
T_TRLGW-1,TRLGW-1,,T_TRLGW-1,Smartestenergy Limited,T,18.742,,False,unknown,-,no graded evidence,True,
T_TWSHW-1,TWSHW-1,,Twenty Shilling Wind Farm,Twentyshilling Limited,T,37.800,,False,unknown,-,no graded evidence,True,
T_VKNGW-1,VKNGW-1,48W00000VKNGW-14,Viking Energy Windfarm BMU-1,Viking Energy Wind Farm LLP,T,121.800,,False,unknown,-,no graded evidence,True,13555.446396023999898081
T_VKNGW-2,VKNGW-2,48W00000VKNGW-22,Viking Energy Windfarm BMU-2,Viking Energy Wind Farm LLP,T,121.800,,False,unknown,-,no graded evidence,True,13429.946761608000027620
T_VKNGW-3,VKNGW-3,48W00000VKNGW-30,Viking Energy Windfarm BMU-3,Viking Energy Wind Farm LLP,T,121.800,,False,unknown,-,no graded evidence,True,11442.297724727999997715
T_VKNGW-4,VKNGW-4,48W00000VKNGW-4Z,Viking Energy Windfarm BMU-4,Viking Energy Wind Farm LLP,T,121.800,,False,unknown,-,no graded evidence,True,12313.365770159999918576
T_WDNSO-1,WDNSO-1,48W00000WDNSO-1H,West of Duddon Sands Offshore1,Morecambe Wind Limited,T,197.000,,False,unknown,-,no graded evidence,True,
T_WDNSO-2,WDNSO-2,48W00000WDNSO-2F,West of Duddon Sands Offshore2,Morecambe Wind Limited,T,201.000,,False,unknown,-,no graded evidence,True,
T_WDRGW-1,WDRGW-1,,Windy Rig Wind Farm,Windy Rig Wind Farm Limited,T,42.800,,True,north,B,TEC register row 'Windy Rig Wind Farm' hosted by SPT,True,13062.324426009832862401
T_WHIHW-1,WHIHW-1,48W00000WHIHW-15,Whiteside Hill WF,Whiteside Hill,T,27.520,,True,north,B,TEC register row 'Whiteside Hill Wind Farm' hosted by SPT,True,
T_WHILW-1,WHILW-1,48W00000WHILW-1M,T_WHILW-1,SP Renewables (UK) Limited,T,309.000,,True,north,A,CMIS intertrip arming lists the unit against B6,True,70523.478929882579848254
T_WHILW-2,WHILW-2,48W00000WHILW-2K,Whitelee Extension,SP Renewables (UK) Limited,T,206.000,,True,north,A,CMIS intertrip arming lists the unit against B6,True,
T_WISTW-2,WISTW-2,,Brockloch Rig 2 WF Exp A,BROCKLOCH RIG WINDFARM LTD,T,61.500,,False,unknown,-,no graded evidence,True,100274.436293202600779750
T_WLNYO-2,WLNYO-2,48W00000WLNYO-23,WALNEY_2,Walney Offshore Windfarms Ltd,T,183.600,,False,unknown,-,no graded evidence,True,
T_WLNYO-3,WLNYO-3,48W00000WLNYO-31,WALNEY_3,Walney Extension Ltd,T,330.000,,False,south,B,TEC register row 'Walney 3 Offshore Wind Farm' hosted by NGET,True,43325.027513211411132943
T_WLNYO-4,WLNYO-4,48W00000WLNYO-4-,WALNEY_4,Walney Extension Ltd,T,330.000,,False,south,B,TEC register row 'Walney 4 Offshore Wind Farm' hosted by NGET,True,10290.749347633300203597
T_WLNYO-4,WLNYO-4,48W00001WLNYO-4R,WALNEY_4,Walney Extension Ltd,T,330.000,,False,south,B,TEC register row 'Walney 4 Offshore Wind Farm' hosted by NGET,True,10290.749347633300203597
T_WLNYW-1,WLNYW-1,48W00000WLNYW-1A,WALNEY_1,Walney Offshore Windfarms Ltd,T,182.000,,False,unknown,-,no graded evidence,True,
T_WTMSO-1,WTMSO-1,48W00000WTMSO-1M,WESTERMOST_ROUGH,Westermost Rough Limited,T,205.000,,False,unknown,-,no graded evidence,True,
,ACHYW-1,,,,,,,False,unknown,-,no graded evidence,False,
,AKGLW-1,,,,,,,False,unknown,-,no graded evidence,False,
,BENBW-2,,,,,,,False,unknown,-,no graded evidence,False,
,BENBW-3,,,,,,,False,unknown,-,no graded evidence,False,
,BGLAW-1,,,,,,,False,unknown,-,no graded evidence,False,
,BNAKW-1,48W00000BNAKW-1G,,,,,,False,unknown,-,no graded evidence,False,
,BOULW-1,,,,,,,False,unknown,-,no graded evidence,False,
,BOYNW-1,48W00000BOYNW-1Z,,,,,,False,unknown,-,no graded evidence,False,
,BTUIW-1,,,,,,,False,unknown,-,no graded evidence,False,
,CDWTW-1,,,,,,,False,unknown,-,no graded evidence,False,
,CRAGW-1,,,,,,,False,unknown,-,no graded evidence,False,
,CRMHW-1,,,,,,,False,unknown,-,no graded evidence,False,
,CRMNW-1,,,,,,,False,unknown,-,no graded evidence,False,
,CRYRW-1,48W00000CRYRW-1N,,,,,,False,unknown,-,no graded evidence,False,
,DEUCW-1,48W00000DEUCW-1K,,,,,,False,unknown,-,no graded evidence,False,
,DRDGW-1,48W00000DRDGW-1B,,,,,,False,unknown,-,no graded evidence,False,
,DUMMW-1,,,,,,,False,unknown,-,no graded evidence,False,
,EARBW-1,48W00000EARBW-1Q,,,,,,False,unknown,-,no graded evidence,False,
,EDTRW-1,,,,,,,False,unknown,-,no graded evidence,False,
,FRBRW-1,,,,,,,False,unknown,-,no graded evidence,False,
,FUABW-1,,,,,,,False,unknown,-,no graded evidence,False,
,GLTCW-1,,,,,,,False,unknown,-,no graded evidence,False,
,GRKNW-1,,,,,,,False,unknown,-,no graded evidence,False,
,HAWFW-1,,,,,,,False,unknown,-,no graded evidence,False,
,INCWO-1,,,,,,,False,unknown,-,no graded evidence,False,
,INCWO-2,,,,,,,False,unknown,-,no graded evidence,False,
,INCWO-3,,,,,,,False,unknown,-,no graded evidence,False,
,INCWO-4,,,,,,,False,unknown,-,no graded evidence,False,
,INNDW-1,,,,,,,False,unknown,-,no graded evidence,False,
,KLDMW-1,,,,,,,False,unknown,-,no graded evidence,False,
,LGPKW-1,,,,,,,False,unknown,-,no graded evidence,False,
